Year,Genre,Sentence
1870,Cowboy/Western Tales,"Sandy was very drunk. He was lying under an azalea-bush, in pretty much the same attitude in which he had fallen some hours before."
1889,Cowboy/Western Tales,"As the master of the Indian Spring school emerged from the pine woods into the little clearing before the school-house, he stopped whistling, put his hat less jauntily on his head, threw away some wild flowers he had gathered on his way, and otherwise assumed the severe demeanor of his profession and his mature agewhich was at least twenty."
2004,Cowboy/Western Tales,"Bob Barnes says they got a dead baby out in BLM land. Hes on line one. She might have knocked, but I didnt hear it because I was watching the geese. I watch the geese a lot in the fall, when the days get shorter and the ice traces the rocky edges of Clear Creek."
1982,Cowboy/Western Tales,"The man in black fled across the desert, and the gunslinger followed."
1953,Cowboy/Western Tales,"He rolled the cigarettes in his lips, liking the taste of tobacco, squinting his eyes against the sun glare. His buckskin shirt, seasoned by sun, rain, and sweat, smelled stale and old. His jeans had long since faded to a neutral color that lost itself against the desert."
1958,Cowboy/Western Tales,"A rifle fired from the house and Radigan dove for the brush, falling on his hands as a second bullet clipped brush ahead of him. He rolled over, catching a quick glimpse of Angelina Foley herself standing near the porch, working the lever on the Winchester."
1960,Cowboy/Western Tales,"It is given to few people in this world to disappear twice but, as he had succeeded once, the man known as James T. Kettleman was about to make his second attempt. If he did not succeed this time he would never know it, for he would be dead."
1961,Cowboy/Western Tales,"It wasnt as if he hadnt been warned. He got it straight, with no beating around the mesquite. Mister, I said, if you aint any slicker with that pistol than you were with that bottom deal, youd better not have at it. Trouble was, he wouldnt be content with one mistake, he had to make two; so he had at it, and they buried him out west of town where men were buried who die by the gun. And me, William Tell Sackett, who came to Uvalde a stranger and alone, I found myself a talked-about man."
1963,Cowboy/Western Tales,"Wherever buffalo grazed, cattle were rounded up, or mustangs tossed their tails in flight, men talked of Bijah Catlow."
1970,Cowboy/Western Tales,"Somebody wanted to kill him . The idea was in his mind when he opened his eyes to the darkness of a narrow space between two buildings. His eyes came to a focus on a rectangle of light on the wall of the building opposite, the light from a second-story window. He had fallen from that window."
1980,Cowboy/Western Tales,There will come a time when you believe everything is finished. That will be the beginning.
1954,Cowboy/Western Tales,"Supper was over by sundown, and Henry Edwards walked out from the house for a last look around. He carried his light shotgun, in hopes the rest of the family would think he meant to pick up a sage hen or twoa highly unlikely prospect anywhere near the house. He had left his gun belt on its peg beside the door, but he had sneaked the heavy six-gun itself into his waistband inside his shirt."
1953,Cowboy/Western Tales,Dave Flynn stretched his boots over the footrest and his body eased lower into the barber chair.
1982,Cowboy/Western Tales,"A time would come, within a few years, when Ruben Vega would go to the church in Benson, kneel in the confessional, and say to the priest, Bless me, Father, for I have sinned. It has been thirty-seven years since my last confession."
1985,Cowboy/Western Tales,When Augustus came out on the porch the blue pigs were eating a rattlesnakenot a very big one.
2002,Cowboy/Western Tales,"In the darkness beyond the great Missouris shore at last lay the West, toward which Tasmin and her family, the numerous Berrybenders, had so long been tending."
1975,Cowboy/Western Tales,He was not yet within sight of the ravine when Mike heard the first shot.
1990,Cowboy/Western Tales,"Louis LAmour. The name itself sounds highly improbable for the author of Western and adventure novels. As one of his early editors said, LAmour on a paperback sounded like a Western written in lipstick."
1968,Cowboy/Western Tales,"People do not give it credence that a fourteen-year-old girl could leave home and go off in the wintertime to avenge her fathers blood but it did not seem so strange then, although I will say it did not happen every day."
1999,Cowboy/Western Tales,"Ennis Del Mar wakes before five, wind rocking the trailer, hissing in around the aluminum door and window frames. The shirts hanging on a nail shudder slightly in the draft. He gets up, scratching the grey wedge of belly and pubic hair, shuffles to the gas burner, pours leftover coffee in a chipped enamel pan; the flame swathes it in blue. He turns on the tap and urinates in the sink, pulls on his shirt and jeans, his worn boots, stamping the heels against the floor to get them full on."
1976,Cowboy/Western Tales,It is the finest outhouse in the Dakotas. It has to be.
1975,Cowboy/Western Tales,He thought: When I get there nobody will believe I could have managed a ride like this and neither by God will I.
1975,Cowboy/Western Tales,"Jud Clasby, hidden in the yet unleafed sassafras clump, watched the work going on in the camp. The three squaws and four children were as pretty a sight as he had ever seen."
2012,Crime/Detective & Suspense/Thrillers,"After a game, it takes a half-hour under the shower head to get all the hairspray out. To peel off all the sequins. To dig out that last bobby pin nestled deep in your hair."
1992,Crime/Detective & Suspense/Thrillers,"The murders and mutilations of five prostitutes in Whitechapel, in the East End of London, began on the morning of Friday, August 31, 1888."
2018,Crime/Detective & Suspense/Thrillers,"Mister Robert Roberts Hitt, the well-known steno man, arrived in Springfield late on the sweltering afternoon of August 28, 1859. As he stepped down onto the platform of the new station, he paused briefly and nattily patted the beads of sweat from his forehead, then vainly attempted to tug the wrinkles out of his jacket."
1988,Crime/Detective & Suspense/Thrillers,It can hardly be a coincidence that no language on earth has ever produced the expression As pretty as an airport.
1933,Crime/Detective & Suspense/Thrillers,"Why be in such a hurry, old fool? What good is hurry going to do you? Wrap yourself in a thick gauze of delay and confusion, like the spider; hang there, like the spider, aware of time only as the rock is aware of time; let your days be as leisurely and profound as months, serene as the blue spaces of sky between clouds; your flies will come to you in due season."
2024,Crime/Detective & Suspense/Thrillers,For my boyfriends thirtieth birthday I thought Id go all out and surprise him with a pregnancy.
1949,Crime/Detective & Suspense/Thrillers,"The captain never drank. Yet, toward nightfall in that smoke-colored season between Indian summer and Decembers first true snow, he would sometimes feel half drunken. He would hang his coat neatly over the back of his chair in the leaden station-house twilight, say he was beat from lack of sleep and lay his head across his arms upon the query room desk."
1956,Crime/Detective & Suspense/Thrillers,"Hes just a pore lonesome wife-left feller, the more understanding said of Fitz Linkhorn, losing his old lady is what crazied him. That man is so contrary, the less understanding said, if you throwed him in the river hed float upstream. For what had embittered him Fitz had no name. Yet he felt that every daybreak duped him into waking and every evening conned him into sleep. The feeling of having been cheatedof having been cheatedthat was it. Nobody knew why nor by whom."
1931,Crime/Detective & Suspense/Thrillers,"When one man is following another, however discreet may be the pursuer or the pursued, the act does not often pass unnoticed in the streets of London."
1979,Crime/Detective & Suspense/Thrillers,"It is so appropriate to color hope yellow, like that sun we seldom saw."
2004,Crime/Detective & Suspense/Thrillers,The thing about revenge is that it takes a woman who is well and truly pissed to get it right.
1976,Crime/Detective & Suspense/Thrillers,Making a million legally has always been difficult. Making a million illegally has always been a little easier. Keeping a million when you have made it is perhaps the most difficult of all.
2000,Crime/Detective & Suspense/Thrillers,"Ten days after the war ended, my sister Laura drove a car off a bridge. The bridge was being repaired: she went right through the Danger sign. The car fell a hundred feet into the ravine, smashing through the treetops feathery with new leaves, then burst into flames and rolled down into the shallow creek at the bottom. Chunks of the bridge fell on top of it. Nothing much was left of her but charred smithereens."
1985,Crime/Detective & Suspense/Thrillers,"It was a wrong number that started it, the telephone ringing three times in the dead of night, and the voice on the other end asking for someone he was not."
2017,Crime/Detective & Suspense/Thrillers,"Late one evening toward the end of March, a teenager picked up a double-barreled shotgun, walked into the forest, put the gun to someone elses forehead, and pulled the trigger. This is the story of how we got there."
2020,Crime/Detective & Suspense/Thrillers,"A bank robbery. A hostage drama. A stairwell full of police officers on their way to storm an apartment. It was easy to get to this point, much easier than you might think. All it took was one single bad idea."
2021,Crime/Detective & Suspense/Thrillers,Terry Tice liked killing people. It was as simple as that.
2024,Crime/Detective & Suspense/Thrillers,"Dev Hendrick was lying in the dark on the sofa, laptop propped on his belly, asleep or almost asleep, earbuds bleeding white noise into his ears when his phone buzzed three times on the coffee table and stopped."
2016,Crime/Detective & Suspense/Thrillers,Most of the time they didnt fuck around with the executions. A bullet in the back of the head or a blade drawn across the throat and the body left pretty much where it fell. But when Rashid was there it was different. Rashid liked to play.
2023,Crime/Detective & Suspense/Thrillers,Heidi Billingsworth stood barefoot in the kitchen and stared out the window at the melting tundra surrounding her. Her back ached from where the leather belt had slapped against her as punishment for her disobedience.
2015,Crime/Detective & Suspense/Thrillers,"After a dismal grey winter, spring came to the village of Carsely in the Cotswolds, bringing blossoms, blue skies and warm breezes. But somewhere, in the heart of one private detective, Agatha Raisin, storms were brewing."
1997,Crime/Detective & Suspense/Thrillers,"The last day of Reggie DeLillos life started off with a bad cup of coffee, then went downhill from there."
2002,Crime/Detective & Suspense/Thrillers,It was the title that first intrigued her. Not so much the word itself. But its meaning. This usage. How it applied in this very specific situation.
1994,Crime/Detective & Suspense/Thrillers,"He was tall, about fifty, with darkly handsome, almost sinister features: a neatly trimmed mustache, hair turning silver at the temples, and eyes so black they were like the tinted windows of a sleek limousinehe could see out, but you couldnt see in."
2023,Crime/Detective & Suspense/Thrillers,"Im lost, wandering, and somewhat stoned."
2023,Crime/Detective & Suspense/Thrillers,"Gertrudes corpse lay at an unnatural angle on the floor of the Paper Trail Bookstore. Her pale skin glowed eerily under the lights, her deathly pallor made starker by the winged liner that circled her eyelids like a burlesque raccoon. No one in the store could discern the cause of her death, but it was obvious to any trained eye that Ouch. I think theres a rock under my hip. Wait a sec. The corpse wriggled, shifted, and dislodged a pebble from beneath the waistband of her torn black jeans. Never mind, she said as she popped the rock into her mouth. Its just a jelly bean."
2020,Crime/Detective & Suspense/Thrillers,"The girl cut herself. With a knife, most likelywith a paring knife or steak knife pilfered from the kitchen when her parents werent aroundor maybe she used a pair of scissors already in her bedroom, opening them up and then pressing the tip of one of the blades against her skin."
1971,Crime/Detective & Suspense/Thrillers,"Like the brief doomed flare of exploding suns that registers dimly on blind mens eyes, the beginning of the horror passed almost unnoticed; in the shriek of what followed, in fact, was forgotten and perhaps not connected to the horror at all. What looked like morning was the beginning of endless night."
2015,Crime/Detective & Suspense/Thrillers,It was in the eleventh grade that I knew I would be a writer. The conviction grew out of two awarenesses that dawned at about the same time.
2005,Crime/Detective & Suspense/Thrillers,"High in these mountains, The Apennines, the spinal cord of Italy, with its vertebrae of infant stone to which the tendons and the flesh of the old world are attached, there is a small cave high up on a precipice."
1946,Crime/Detective & Suspense/Thrillers,"Mark Chalmers was, as far as he knew, exactly the kind of man he wanted to be. He earned enough money for his tasks; he had done nothing discreditable; women admired him, boys obeyed him; and men of his own age definitely disliked him...."
2007,Crime/Detective & Suspense/Thrillers,There are two disadvantages to being a minor royal.
2023,Crime/Detective & Suspense/Thrillers,"You have probably heard that Darcy and I were expecting a baby in August, but that wasnt the arrival I was nervous about at that moment."
2002,Crime/Detective & Suspense/Thrillers,"On the third day of their honeymoon, infamous environmental activist Stewie Woods and his new bride, Annabel Belloti, were spiking trees in the forest when a cow exploded and blew them up. Until then, their marriage had been happy."
2007,Crime/Detective & Suspense/Thrillers,"When ranch owner Opal Scarlett vanished, no one mourned except her three grown sons, Arlen, Hank, and Wyatt, who expressed their loss by getting into a fight with shovels."
1947,Crime/Detective & Suspense/Thrillers,"There was any amount of banging and hammering for a number of days; deliveries of metal parts and oddments which Mr. Charles Braling took into his little workshop with a feverish anxiety. He was a dying man, a badly dying man, and he seemed to be in a great hurry, between racking coughs and spittlings, to piece together one last invention."
1947,Crime/Detective & Suspense/Thrillers,It was one of those things they keep in a jar in the tent of a sideshow on the outskirts of a little drowsy town.
1953,Crime/Detective & Suspense/Thrillers,It was a pleasure to burn.
1915,Crime/Detective & Suspense/Thrillers,"I returned from the City about three oclock on that May afternoon pretty well disgusted with life. I had been three months in the Old Country, and was fed up with it. If anyone had told me a year ago that I would have been feeling like that I should have laughed at him...."
2000,Crime/Detective & Suspense/Thrillers,"Years ago, in state documents, Vachel Carmouche was always referred to as the electrician, never as the executioner."
2007,Crime/Detective & Suspense/Thrillers,There are no differences between men and women. No differences. Except one. Men want to know what sort of gun it is. Women just want the gun.
2018,Crime/Detective & Suspense/Thrillers,The day Somebody McSomebody put a gun to my breast and called me a cat and threatened to shoot me was the same day the milkman died.
1959,Crime/Detective & Suspense/Thrillers,"I can feel the heat closing in, feel them out there making their moves, setting up their devil doll stool pigeons, crooning over my spoon and dropper I throw away at Washington Square Station."
1934,Crime/Detective & Suspense/Thrillers,They threw me off the hay truck about noon.
1976,Crime/Detective & Suspense/Thrillers,"I first met Hortense Garrett at her home in Wilmington, Delaware on a spring morning last year. I wasnt calling on her but on her husband, Richard Garrett, the financier, to make a pitch for moneya lot of money, twenty million or so. It was for a project I had in mind, an institute of biography which I hoped he would endowand, incidentally, name me as director."
1966,Crime/Detective & Suspense/Thrillers,"The village of Holcomb stands on the high wheat plains of Western Kansas, a lonesome area that other Kansans call out there."
2025,Crime/Detective & Suspense/Thrillers,"March 18, 1944 This will be the third man Ive whacked today, and Ive run out of patience for their useless begging."
1994,Crime/Detective & Suspense/Thrillers,"January 8th, 1919 Theodore is in the ground."
1997,Crime/Detective & Suspense/Thrillers,"Theres likely some polished way of starting a story like this, a clever bit of gaming thatd sucker people in surer than the best banco feeler in town. But the truth is that I havent got the quick tongue or the slick wit for that kind of game."
2019,Crime/Detective & Suspense/Thrillers,"Enough water, like enough time, can make anything disappear."
1988,Crime/Detective & Suspense/Thrillers,"At the beginning of the summer I had lunch with my father, the gangster, who was in town for the weekend to transact some of his vague business."
2024,Crime/Detective & Suspense/Thrillers,"In all failed relationships there is a point that passes unnoticed at the time, which can later be identified as the beginning of the decline."
1939,Crime/Detective & Suspense/Thrillers,"It was about eleven oclock in the morning, mid October, with the sun not shining and a look of hard wet rain in the clearness of the foothills. I was wearing my powder-blue suit, with dark blue shirt, tie and display handkerchief, black brogues, black wool socks with dark blue clocks on them. I was neat, clean, shaved, and sober, and I didnt care who knew it. I was everything the well-dressed private detective ought to be. I was calling on four million dollars."
1943,Crime/Detective & Suspense/Thrillers,"The Treloar Building was, and is, on Olive Street, near Sixth, on the west side. The sidewalk in front of it had been built of black and white rubber blocks. They were taking them up now to give to the government, and a hatless pale man with a face like a building superintendent was watching the work and looking as if it was breaking his heart."
1949,Crime/Detective & Suspense/Thrillers,The pebbled glass door panel is lettered in flaked black paint: Phillip Marlowe...Investigations. It is a reasonably shabby door at the end of a reasonably shabby corridor in the sort of building that was new about the year the all-tile bathroom became the basis of civilization.
1950,Crime/Detective & Suspense/Thrillers,"Anna Halsey was about two hundred and forty pounds of middle-aged putty-faced woman in a black tailor-made suit. Her eyes were shiny black shoe buttons, her cheeks were soft as suet and about the same color. She was sitting behind a black glass desk that looked like Napoleon's tomb and she was smoking a cigarette in a black holder that was not quite as long as a rolled umbrella. She said: ""I need a man."""
1953,Crime/Detective & Suspense/Thrillers,"The first time I laid eyes on Terry Lennox he was drunk in a Rolls-Royce Silver Wraith outside the terrace of The Dancers. The parking lot attendant had brought the car out and he was still holding the door open because Terry Lennoxs left foot was still dangling outside, as if he had forgotten he had one."
1997,Crime/Detective & Suspense/Thrillers,"I was arrested in Enos diner. At twelve oclock. I was eating eggs and drinking coffee. A late breakfast, not lunch. I was wet and tired after a long walk in heavy rain. All the way from the highway to the edge of town."
1926,Crime/Detective & Suspense/Thrillers,Mrs. Ferrars died on the night of the 16th-17th Septembera Thursday. I was sent for at eight oclock on the morning of Friday the 17th. There was nothing to be done. She had been dead some hours.
1930,Crime/Detective & Suspense/Thrillers,"It is difficult to know quite where to begin this story, but I have fixed my choice on a certain Wednesday at luncheon at the Vicarage. The conversation, though in the main irrelevant to the matter in hand, yet contained one or two suggestive incidents which influenced later developments."
1942,Crime/Detective & Suspense/Thrillers,"When at last I was taken out of the plaster, and the doctors had pulled me about to their hearts content, and nurses had wheedled me into cautiously using my limbs, and I had been nauseated by their practically using baby talk to me, Marcus Kent told me I was to go and live in the country."
1967,Crime/Detective & Suspense/Thrillers,In my end is my beginning ... Thats a quotation Ive often heard people say. It sounds all rightbut what does it really mean?
1975,Crime/Detective & Suspense/Thrillers,Who is there who has not felt a sudden startled pang at reliving an old experience or feeling an old emotion? I have done this before.... Why do those words always move one so profoundly? That was the question I asked myself as I sat in the train watching the flat Essex landscape outside.
1988,Crime/Detective & Suspense/Thrillers,"They called him the Archer. It was an honorable title, though his countrymen had cast aside their reflex bows over a century ago, as soon as they had learned about firearms."
2013,Crime/Detective & Suspense/Thrillers,I sat in the back pew and watched the only woman I would ever love marry another man.
2017,Crime/Detective & Suspense/Thrillers,Daisy wore a clingy black dress with a neckline so deep it could tutor philosophy.
2023,Crime/Detective & Suspense/Thrillers,I am serving the fifth year of a life sentence for murdering my own child. Spoiler alert: I didnt do it.
2019,Crime/Detective & Suspense/Thrillers,"My trial starts the way my life did: a squall of elbows and shoving and spit. From the prisoners hold they take me through the gallery, down the stairs and past the table crawling with barristers and clerks. Around me a river of faces in flood, their mutters rising, blending with the lawyers whispers. A noise that hums with all the spite of bees in a bush. Heads turn as I enter. Every eye a skewer."
1892,Crime/Detective & Suspense/Thrillers,"I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair. With an apology for my intrusion, I was about to withdraw when Holmes pulled me abruptly into the room and closed the door behind me."
1892,Crime/Detective & Suspense/Thrillers,"My dear fellow, said Sherlock Holmes as we sat on either side of the fire in his lodgings at Baker Street, life is infinitely stranger than anything which the mind of man could invent."
1892,Crime/Detective & Suspense/Thrillers,"When I glance over my notes and records of the Sherlock Holmes cases between the years 82 and 90, I am faced by so many which present strange and interesting features that it is no easy matter to know which to choose and which to leave."
1892,Crime/Detective & Suspense/Thrillers,"Isa Whitney, brother of the late Elias Whitney, D.D., Principal of the Theological College of St. Georges, was much addicted to opium. The habit grew upon him, as I understand, from some foolish freak when he was at college; for having read De Quinceys descriptions of his dreams and sensations."
1892,Crime/Detective & Suspense/Thrillers,"Holmes, said I as I stood one morning in our bow-window looking down the street, here is a madman coming along. It seems rather sad that his relatives should allow him to come out alone."
1892,Crime/Detective & Suspense/Thrillers,"To the man who loves art for its own sake, remarked Sherlock Holmes, tossing aside the advertisement sheet of the Daily Telegraph , it is frequently in its least important and lowliest manifestations that the keenest pleasure is to be derived."
1892,Crime/Detective & Suspense/Thrillers,"To Sherlock Holmes, she is always the woman. I have seldom heard him mention her under any other name. In his eyes she eclipses and predominates the whole of her sex. It was not that he felt any emotion akin to love for Irene Adler. All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind."
1996,Crime/Detective & Suspense/Thrillers,"Death is my beat. I make my living from it. I forge my professional reputation on it. I treat it with the passion and precision of an undertakersomber and sympathetic about it when Im with the bereaved, a skilled craftsman with it when Im alone. Ive always thought the secret of dealing with death was to keep it at arms length. Thats the rule. Dont let it breathe in your face. But my rule didnt protect me."
1953,Crime/Detective & Suspense/Thrillers,"On August 27, 1947, a multimillionaire and a bull killed each other in Linares, Spain, and plunged an entire nation into deep mourning. The bulls name was Islero, and he was of the Miura strain. The mans name was Manolete, and he was the essence of everything Spanish. His story is the embodiment of la fiesta brava."
2021,Crime/Detective & Suspense/Thrillers,"Ike tried to remember a time when men with badges coming to his door early in the morning brought anything other than heartache and misery, but try as he might nothing came to mind."
1978,Crime/Detective & Suspense/Thrillers,"When I finally caught up with Abraham Trahearne, he was drinking beer with an alcoholic bulldog named Fireball Roberts in a ramshackle joint just outside of Sonoma, California, drinking the heart right out of a fine spring afternoon."
1993,Crime/Detective & Suspense/Thrillers,"When the 3:12 through freight to Spokane hit the East Meriweather crossing, the engineer touched his horn and released a long, mournful wail into the wet, snowy air of our second early fall storm in Western Montana. It sounded a hell of a lot like the first note of a Hank Snow ballad."
1997,Crime/Detective & Suspense/Thrillers,He had probably been watching her for a while. We arent surebut what we do know is that she was not his first victim.
2019,Crime/Detective & Suspense/Thrillers,"Because I am a student of literature, I will start my story on the day Charlie died. In other words, Im beginning in the middle. In media res , thats the Latin term...."
2022,Crime/Detective & Suspense/Thrillers,You cant drink all day unless you start in the morning.
1984,Crime/Detective & Suspense/Thrillers,"After his wife left with all her clothes and the childrens clothes and toys, Morgan continued to go to work and come home, though the house was empty and he had no one to talk to. In the evenings he stood at his windows with binoculars and watched the passage of his neighbors through their rooms."
1887,Crime/Detective & Suspense/Thrillers,"In the year 1878 I took my degree of Doctor of Medicine of the University of London, and proceeded to Netley to go through the course prescribed for surgeons in the army."
1890,Crime/Detective & Suspense/Thrillers,"Sherlock Holmes took his bottle from the corner of his mantelpiece, and his hypodermic syringe from its neat Morocco case. With his long, white nervous fingers he adjusted the delicate needle and rolled back his left shirt cuff."
1902,Crime/Detective & Suspense/Thrillers,"Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he stayed up all night, was seated at the breakfast table."
1938,Crime/Detective & Suspense/Thrillers,Last night I dreamt I went to Manderley again.
1951,Crime/Detective & Suspense/Thrillers,They used to hang men at Four Turnings in the old days. Not any more though.
1978,Crime/Detective & Suspense/Thrillers,"It was a wild, windy, southwestern spring when the idea of killing Mr. Griffin occurred to them."
2001,Crime/Detective & Suspense/Thrillers,"I didnt start writing until I was fifty years old although an observers eye had been observing for forty of those fifty years, while trying out different areas of occupation."
1992,Crime/Detective & Suspense/Thrillers,"When news of Gulliver Quicks death first reached the newspapers, there were curious rumors of five women attempting to take equal responsibility."
2018,Crime/Detective & Suspense/Thrillers,"When I was eleven, my father walked into his bedroom and caught me stuffing several of the coins he collected into my pockets."
1991,Crime/Detective & Suspense/Thrillers,"ABANDON ALL HOPE YE WHO ENTER HERE is scrawled in blood red lettering on the side of the Chemical Bank near the corner of Eleventh and First and is in print large enough to be seen from the backseat of the cab as it lurches forward in the traffic leaving Wall Street and just as Timothy Price notices the words a bus pulls up, the advertisement for Les Miserables on its side blocking his view, but Price who is with Pierce & Pierce and twenty-six doesnt seem to care because he tells the driver he will give him five dollars to turn up the radio, Be My Baby on WYNN, and the driver, black, not American, does so."
2000,Crime/Detective & Suspense/Thrillers,First I had to get his body into the boat.
2008,Crime/Detective & Suspense/Thrillers,"The gun jammed on the last shot and the baby stood holding the crib rail, eyes wild, bawling. The man sat down in an upholstered chair and began taking his gun apart to see why it wouldnt fire. The babys crying set him on edge."
2021,Crime/Detective & Suspense/Thrillers,"While in prison, I received a dictionary. It was sent to me with a note. This is the book I would take to a deserted island. Other books were to arrive from my teacher. But as she had known, this one proved of endless use."
1994,Crime/Detective & Suspense/Thrillers,There are some men who enter a womans life and screw it up forever.
1999,Crime/Detective & Suspense/Thrillers,"When I was a little girl I used to dress Barbie up without underpants. On the outside, shed look like the perfect lady. Tasteful plastic heels, tailored suit. But underneath, she was naked."
2021,Crime/Detective & Suspense/Thrillers,"Money, Mississippi, looks exactly like it sounds. Named in that persistent Southern tradition of irony and with the attendant tradition of nescience, the name becomes slightly sad, a marker of self-conscious ignorance that might as well be embraced because, lets face it, it isnt going away."
1973,Crime/Detective & Suspense/Thrillers,This is what happened.
1948,Crime/Detective & Suspense/Thrillers,It was just noon that Sunday morning when the sheriff reached the jail with Lucas Beauchamp though the whole town (the whole county too for that matter) had known since the night before that Lucas had killed a white man.
1959,Crime/Detective & Suspense/Thrillers,The jury said Guilty and the Judge said Life but he didnt hear them. He wasnt listening.
2018,Crime/Detective & Suspense/Thrillers,My name is Amber Reynolds. There are three things you should know about me: Im in a coma. My husband doesnt love me anymore. Sometimes I lie.
1992,Crime/Detective & Suspense/Thrillers,"My mother drowned on the night of May 23rd, my birthday, in the sea at a place called Spaccavento, a few miles from Minturno."
2001,Crime/Detective & Suspense/Thrillers,My father had a face that could stop a clock.
2011,Crime/Detective & Suspense/Thrillers,"Pleasant it is, no doubt, to drink tea with your sweetheart, but most disagreeable to find her bubbling in the tea-urn. So wrote Thomas de Quincy in 1826, and indeed, it is hard to argue with him."
2017,Crime/Detective & Suspense/Thrillers,"There was every possibility that I was dead, and my brain hadnt got the memo. Or maybe it was that I wished I were dead. On reflection, that was more likely."
2009,Crime/Detective & Suspense/Thrillers,"I have a meanness inside of me, real as an organ. Slit me at my belly and it might slide out, meaty and dark, drop on the floor so you could stomp on it. Its the Day blood. Somethings wrong with it. I was never a good little girl, and I got worse after the murders."
2012,Crime/Detective & Suspense/Thrillers,"When I think of my wife, I always think of her head. The shape of it, to begin with. The very first time I saw her, it was the back of the head I saw, and there was something lovely about it, the angles of it. Like a shiny, hard corn kernel or a riverbed fossil. She had what the Victorians would call a finely shaped head. You could imagine the skull quite easily. Id know her head anywhere."
1997,Crime/Detective & Suspense/Thrillers,"The old wood cabin sat alone, surrounded by trees and darkness. The shades were drawn, and a dog lay motionless on the front porch. A thin stream of smoke flowed out of the chimney and headed west, across the rural Maryland countryside toward Washington, D.C. Inside, a man sat silently in front of the fireplace, shoving stacks of paper into the hot flames."
2012,Crime/Detective & Suspense/Thrillers,"First, Ill tell about the robbery our parents committed. Then about the murders, which happened later. The robbery is the more important part, since it served to set my and my sisters lives on the courses they eventually followed. Nothing would make complete sense without that being told first."
1937,Crime/Detective & Suspense/Thrillers,"It was not long after dawn that Captain Hornblower came up on the quarterdeck of the Lydia . Bush, the first lieutenant, was officer of the watch, and touched his hat but did not speak to him; in a voyage which had by now lasted seven months without touching land he had learned something of his captains likes and dislikes. During this first hour of the day the captain was not to be spoken to, nor his train of thought interrupted."
1963,Crime/Detective & Suspense/Thrillers,"When she was home from her boarding-school I used to see her every day sometimes, because their house was right opposite the Town Hall Annexe. She and her younger sister used to go in and out a lot, often with young men, which of course I didnt like."
1989,Crime/Detective & Suspense/Thrillers,"I inherited my brothers life. Inherited his desk, his business, his gadgets, his enemies, his horses and his mistress. I inherited my brothers life, and it nearly killed me."
1986,Crime/Detective & Suspense/Thrillers,I held the mescal up to the light and watched the worm slide across the bottom of the bottle.
2020,Crime/Detective & Suspense/Thrillers,"Where does a mistake begin? Lately Ive found this simple question difficult. Impossible, actually. A mistake has roots in both time and spacea persons reasoning and her whereabouts. Somewhere in the intersection of those two dimensions is the precisely bounded mistakein nautical terms, its coordinates."
