author,title,year,opening_line
"Richard Henry Dana, Jr.",Two Years Before the Mast,1840,"The fourteenth of August was the day fixed upon for the sailing of the brig Pilgrim, on her voyage from Boston, round Cape Horn, to the Western coast of North America."
Richard Dawkins,The Selfish Gene,1976,Intelligent life on a planet comes of age when it first works out the reason for its own existence.
Richard Dawkins,Time,,"Years ago, in an Oxford tutorial, I taught a young woman who affected an unusual habit. When asked a question that required deep thought, she would screw her eyes tight shut, jerk her head down to her chest and then freeze for up to half a minute before looking up, opening her eyes and answering the question with fluency and intelligence."
Simone de Beauvoir,"The Second Sex,",1949,"One is not born, but rather becomes, a woman."
Nina de Gramont,The Christie Affair,2022,"A long time ago in another country, I nearly killed a man."
Nelson DeMille,The Maze,2022,You can’t drink all day unless you start in the morning.
Charles Dickens,A Tale of Two Cities,1859,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only."
Colin Dickey,Under the Eye of Power,2023,The United States was born in paranoia.
Denis Diderot,Rameau’s Nephew,1762,"Come rain or shine, my custom is to go for a stroll in the Palais-Royal every afternoon about five. I am always to be seen there alone, sitting on a seat in the Allée d’Argenson, meditating."
Frederick Douglass,"Narrative of the Life of Frederick Douglass, An American Slave",1845,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot County, Maryland. I have no accurate knowledge of my age, never having seen any authentic record containing it."
Maureen Dowd,The New York Times,,"What has surprised me most about the history I have lived through is how often we get dragged on demented, destructive rides by leaders who put their personal psychodramas over the public’s well-being."
Maureen Dowd,The New York Times,,The fate of a sycophant is never a happy one.
Peter F. Drucker,Harvard Business Review,,"History’s great achievers—a Napoleon, a da Vinci, a Mozart—have always managed themselves. That, in large measure, is what makes them great achievers."
W. E. B. Du Bois,The Souls of Black Folk,1903,"Herein lie buried many things which if read with patience may show the strange meaning of being black here at the dawning of the Twentieth Century. This meaning is not without interest to you, Gentle Reader; for the problem of the Twentieth Century is the problem of the color-line."
Daphne du Maurier,Mary Ann,1954,"Years later, when she had gone and was no longer part of their lives, the thing they remembered about her was her smile."
Will Durant,The Story of Civilization: The Reformation,,Religion is the last subject that the intellect begins to understand.
Bob Dylan,The Philosophy of Modern Song,2022,A- Wop-Bop-A-Loo-Bop-a-Wop-Bam-Boom. Little Richard was speaking in tongues across the airwaves long before anybody knew what was happening.
Timothy Egan,A Fever in the Heartland,2023,"January 12, 1925 The most powerful man in Indiana stood next to the governor at the Inaugural Ball, there to be thanked, applauded, and blessed for using the nation’s oldest domestic terror group to gain control of a uniquely American state."
Jonathan Eig,King,2023,"On December 5, 1955, a young Black man became one of America’s founding fathers."
George Eliot (pen name of Mary Ann Evans),Adam Bede,1859,"With a single drop of ink for a mirror, the Egyptian sorcerer undertakes to reveal to any chance comer far-reaching visions of the past. This is what I undertake to do for you, reader."
George Eliot (pen name of Mary Ann Evans),"Felix Holt, the Radical",1866,"On the first of September, in the memorable year 1832, some one was expected at Transome Court."
George Eliot (pen name of Mary Ann Evans),Middlemarch,,Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress.
Louise Erdrich,The Plague of Doves,2008,"The gun jammed on the last shot and the baby stood holding the crib rail, eyes wild, bawling. The man sat down in an upholstered chair and began taking his gun apart to see why it wouldn’t fire. The baby’s crying set him on edge."
Clarissa Pinkola Estés,Women Who Run with the Wolves,1992,Wildlife and the Wild Woman are both endangered species.
Percival Everett,The Trees,2021,"Money, Mississippi, looks exactly like it sounds. Named in that persistent Southern tradition of irony and with the attendant tradition of nescience, the name becomes slightly sad, a marker of self-conscious ignorance that might as well be embraced because, let’s face it, it isn’t going away."
Percival Everett,James,2024,Those little bastards were hiding out there in the tall grass.
Laurie Ezpeleta,Buried Mistakes,2014,"That night I dreamed. Someone’s at the door. I don’t want to open it. But I must. A young soldier stands before me, trembling. I nod and he follows me into the tiny room. I light the lamp so I can see him better. Then I sit on the small wooden crate that contains my belongings and wait. He kneels on the floor before me, his body tense as the strings on the shamisen I used to play. “The fighting was close today,” I say to him. The soldier looks frightened—they all do. He nods and bows his head. But I have already looked into his eyes—eyes that have seen too much. He reaches for me and I flinch. It’s a mistake. His eyes flash as the wounded beast within him roars. He hits me, striking at me with all of his pent up rage. Then he rapes me."
Colin Falconer,Silk Road,2011,"Toulouse, France 1293 They found him in the cloister, lying on his back with ice in his beard. He was half conscious, muttering about a Templar knight, a secret commission from the Pope, and a beautiful woman on a white pony."
Colin Falconer,Isabella,2015,"“You will love this man. Do you understand? You will love him, serve him, and obey him in all things. This is your duty to me and to France. Am I clear?“"
Colin Falconer,Stigmata,2017,"Toulouse, France: 1205 God chose Fabricia Bérenger during a lightning storm. With one thunderous touch of his finger, he sent her reeling."
Colin Falconer,A Vain and Indecent Woman,2018,"They call my little Joan the most beautiful woman in all England. Well, every father thinks that about his daughter. That she is special, and prettier. But I never had the opportunity to boast. My name is Edmund of Woodstock and I am the son of a king and the brother of a king and the grandfather of a king."
Colin Falconer,Cry Justice,2021,The head had been impaled on a railing outside the Royal Courts of Justice in the Strand in the early hours of a cold November morning. There was a fine dusting of frost on the corpse’s hair and eyelids which gave it a festive touch.
Lucien Febvre,A New Kind of History,1930,"It is never a waste of time to study the history of a word. Such journeys, whether short or long, monotonous or varied, are always instructive."
Jules Feiffer,The Great Comic Book Heroes,,"Comic books, World War II, the Depression, and I all got going at roughly the same time. I was eight."
Edna Ferber,Ice Palace,1958,"Every third woman you passed on Goat Street in Baronof was young, pretty, and pregnant. The men, too, were young, virile, and pregnant with purpose."
F. Scott Fitzgerald,The Last Tycoon,1941,Though I haven’t ever been on the screen I was brought up in pictures. Rudolph Valentino came to my fifth birthday party—or so I was told.
Judith Flanders,The Invention of Murder,2011,"“Pleasant it is, no doubt, to drink tea with your sweetheart, but most disagreeable to find her bubbling in the tea-urn.“ So wrote Thomas de Quincy in 1826, and indeed, it is hard to argue with him."
Ken Follett,The Key to Rebecca,1980,The last camel collapsed at noon.
Ken Follett,The Pillars of the Earth,1989,The small boys came early to the hanging.
Ken Follett,The Armor of Light,2023,"Until that day, Sal Clitheroe had never heard her husband scream. After that day, she never heard it again, except in dreams."
Dionne Ford,Go Back and Get It,2023,"If you are going to look for your enslaved ancestors, you will have to look for the people who enslaved them."
Anne Frank,The Diary of Anne Frank,,"June 12, 1942 I hope I will be able to confide everything to you, as I have never been able to confide in anyone, and I hope you will be a great source of comfort and support."
Viktor E. Frankl,Man’s Search for Meaning,1946,"This book does not claim to be an account of facts and events but of personal experiences, experiences which millions of prisoners have suffered time and time again. It is the inside story of a concentration camp, told by one of its survivors."
Jonathan Franzen,The Corrections,2001,The madness of an autumn prairie cold front coming through. You could feel it: something terrible was going to happen.
Jonathan Franzen,Strong Motion,2010,"Sometimes when people asked Eileen Holland if she had any brothers or sisters, she had to think for a moment."
Charles Frazier,Cold Mountain,1997,"At the first gesture of morning, flies began stirring. Inman’s eyes and the long wound at his neck drew them, and the sound of their wings and the touch of their feet were soon more potent than a handful of roosters in rousing a man to wake."
Jonathan Freedland,The Escape Artist,2022,"7 April 1944 After days of delay, weeks of obsessive preparation, months of watching the failed attempts of others and two years of seeing the depth to which human beings could sink, the moment had finally come. It was time to escape."
Paul Fussell,Wartime,1989,"Watching a newsreel or flipping through an illustrated magazine at the beginning of the American war, you were likely to encounter a memorable image: the newly invented jeep, an elegant, slim-barreled 37-mm gun in tow, leaping over a hillock."
Diana Gabaldon,Outlander,1991,"People disappear all the time. Ask any policeman. Better yet, ask a journalist. Disappearances are bread-and-butter to journalists. Young girls run away from home. Young children stray from their parents and are never seen again. Housewives reach the end of their tether and take the grocery money and a taxi to the station. International financiers change their names and vanish into the smoke of imported cigars. Many of the lost will be found, eventually, dead or alive. Disappearances, after all, have explanations. Usually."
Diana Gabaldon,Voyager,1993,"He was dead. However, his nose throbbed painfully, which he thought odd, in the circumstances."
Diana Gabaldon,Go Tell the Bees That I Am Gone,2021,"You know that something is coming. Something—a specific, dire, and awful something—will happen. You envision it, you push it away. It rolls slowly, inexorably, back into your mind. You make what preparation you can. Or you think you do, though your bones know the truth—there isn’t any way to sidestep, accommodate, lessen the impact. It will come, and you will be helpless before it. You know these things. And yet, somehow, you never think it will be today."
John Kenneth Galbraith,The Affluent Society,1958,"Wealth is not without its advantages and the case to the contrary, although it has often been made, has never proved wildly persuasive."
Rivka Galchen,Everyone Knows Your Mother is a Witch,2021,"Herein I begin my account, with the help of my neighbor Simon Satler, since I am unable to read or write. I maintain that I am not a witch, never have seen a witch, am a relative to no witches. But from very early in life, I had enemies."
John Galsworthy,In Chancery,1906,The possessive instinct never stands still.
John Galsworthy,The Man of Property,1906,Those privileged to be present at a family festival of the Forsytes have seen that charming and instructive sight—an upper middle-class family in full plumage.
John Galsworthy,Maid in Waiting,1931,"The Bishop of Porthminster was sinking fast; they had sent for his four nephews, his two nieces and their one husband. It was not thought that he would last the night."
V. V. Ganeshananthan,Brotherless Night,2023,I recently sent a letter to a terrorist I used to know.
John W. Gardner,Excellence,1961,"If we accept the common usage of words, nothing can be more readily disproved than the old saw, “You can’t keep a good man down.“"
Martin Gardner,The New York Times,,"Biographical history, as taught in our public schools, is still largely a history of boneheads: ridiculous kings and queens, paranoid political leaders, compulsive voyagers, ignorant generals—the flotsam and jetsam of historical currents. The men who radically altered history, the great creative scientists and mathematicians, are seldom mentioned if at all."
Peter Gay,Mozart,1999,The life of Mozart is the triumph of genius over precociousness.
Kim Ghattas,Black Wave,2020,“What happened to us?“ The question haunts us in the Arab and Muslim world. We repeat it like a mantra.
Edward Gibbon,The Decline and Fall of the Roman Empire,1776,"In the second century of the Christian era, the empire of Rome comprehended the fairest part of the earth, and the most civilized portion of mankind."
Gary Ginsberg,First Friends,2021,I was in the third grade when I saw Abraham Lincoln assassinated.
Malcolm Gladwell,The Bomber Mafia,2021,"There was a time when the world’s largest airport sat in the middle of the western Pacific, around 1,500 miles from the coast of Japan, on one of a cluster of small tropical islands known as the Marianas. Guam. Saipan. Tinian."
Colleen Gleason (see also Colleen Cambridge entry),The Clockwork Scarab,2013,"There are a limited number of excuses for a young, intelligent woman of seventeen to be traversing the fog-shrouded streets of London at midnight. A matter of protecting one’s life or preventing another’s death are two obvious ones."
Gail Godwin,Flora,2013,"There are things we can’t undo, but perhaps there is a kind of constructive remorse that could transform regrettable acts into something of service to life."
Doris Kearns Goodwin,Leadership in Turbulent Times,2018,"Abraham Lincoln, Theodore Roosevelt, Franklin Roosevelt, and Lyndon Johnson—the lives and times of these four men have occupied me for half a century. I have awakened with them in the morning and thought about them when I went to bed at night."
Adam Gopnik,Angels and Ages,2009,"We are all pebbles dropped in the sea of history, where the splash strikes one way and the big tides run another, and though what we feel is the splash, the splash takes place only within those tides. In almost every case, the incoming current drowns the splash; once in a while the drop of the pebble changes the way the ocean runs."
Adam Gopnik,The New Yorker,,"Lafayette, like Betsy Ross and Johnny Appleseed, is so neatly fixed in the American imagination that it is hard to see him as a human being. Betsy sews stars, Johnny plants trees, Lafayette brings French élan to the American Revolution."
Stephen Jay Gould,The Flamingo’s Smile: Reflections in Natural History,1985,Buffalo Bill played his designated role in reducing the American bison from an estimated population of 60 million to near extinction.
Günter Grass,The Tin Drum,1959,"Granted: I am an inmate of a mental hospital; my keeper is watching me, he never lets me out of his sight."
Robert Graves,"I, Claudius",1934,"I, Tiberius Claudius Drusus Nero Germanicus This-that-and-the-other (for I shall not trouble you yet with all my titles) who was once, and not so long ago either, known to my friends and relatives and associates as “Claudius the Idiot,” or “That Claudius,” or “Claudius the Stammerer,” or “Clau-Clau-Claudius” or at best as “Poor Uncle Claudius,” am now about to write this strange history of my life; starting from my earliest childhood and continuing year by year until I reach the fateful point of change where, some eight years ago, at the age of fifty-one, I suddenly found myself caught in what I may call the “golden predicament” from which I have never since become disentangled."
Winston Groom,Forrest Gump,1986,"Let me say this: bein an idiot is no box of chocolates. People laugh, lose patience, treat you shabby. Now they say folks is sposed to be kind to the afflicted, but let me tell you—it ain’t always that way. Even so, I got no complaints, cause I reckon I done live a pretty interestin life so to speak."
Sara Gruen,Water for Elephants,2007,I am ninety. Or ninety-three. One or the other.
Alan Gurganus,Plays Well with Others,1997,There are just two kinds of people in the world: those who will help you and those who won’t.
Edith Hamilton,The Greek Way,1930,"Five hundred years before Christ in a little town on the far western border of the settled and civilized world, a strange new power was at work."
Kristin Hannah,The Nightingale,2015,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are."
Kristin Hannah,The Four Winds,2021,"Elsa Wolcott had spent years in enforced solitude, reading fictional adventures and imagining other lives. In her lonely bedroom, surrounded by the novels that had become her friends, she sometimes dared to dream of an adventure of her own, but not often. Her family repeatedly told her that it was the illness she’d survived in childhood that had transformed her life and left it fragile and solitary, and on good days, she believed it."
Kristin Harmel,The Book of Lost Names,2020,May 2005 It’s a Saturday morning and I’m midway through my shift at the Winter Park Public Library when I see it. The book I last laid eyes on more than six decades ago. The book I believed had vanished forever. The book that meant everything to me.
Karen Harper,American Duchess,2019,Everyone was calling it the wedding of the century. I was calling it the worst day of my life.
Anastasia Hastings,Of Hoaxes and Homicide,2024,"London November 4, 1885 It is a sad day, indeed, when even an orgy does not interest me."
Ernest Hemingway,A Farewell to Arms,1929,"In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves."
John Hersey,The New Yorker,2020,"At exactly fifteen minutes past eight in the morning, on August 6, 1945, Japanese time, at the moment when the atomic bomb flashed on Hiroshima, Miss Toshiko Sasaki, a clerk in the personnel department of the East Asia Tin Works, had just sat down at her place in the patent office and was turning her head to speak to the girl at the next desk."
Hermann Hesse,Steppenwolf,1927,"The day had gone by just as days go by. I had killed it in accordance with my primitive and retiring way of life. I had worked for an hour or two and perused the pages of old books. I had had pains for two hours, as elderly people do. I had taken a powder and been very glad when the pains consented to disappear. I had lain in a hot bath and absorbed its kindly warmth. Three times the mail had come with undesired letters and circulars to look through. I had done my breathing exercises, but found it convenient today to omit the thought exercises. I had been for an hour’s walk and seen the loveliest feathery cloud patterns penciled against the sky. That was very delightful. So was the reading of old books. So was the lying in the warm bath."
Jack Higgins,The Eagle Has Landed,1975,"At precisely one o’clock on the morning of Saturday, 6, November 1943, Heinrich Himmler, Reichführer of the SS and Chief of state Police, received a simple message: “The Eagle has landed.”"
